# Floor Plan Shape Data
# Units: meters

Total Shapes: 23
Rectangles: 22
Circles: 1

Total Area: 240.68 square meters

# Rectangles
# Format: ID, center_x, center_y, width, height, angle_degrees, area_m2
1, -0.322, 11.256, 5.821, 9.540, 86.3, 55.539
2, -4.698, 33.548, 9.139, 9.735, 77.9, 88.966
3, 4.822, 31.515, 9.139, 9.735, 77.9, 88.966
4, 3.731, 14.152, 1.266, 0.463, 85.3, 0.586
5, 1.673, 17.868, 0.503, 0.411, 6.3, 0.206
6, -0.385, 18.240, 1.041, 0.679, 10.8, 0.707
7, 6.239, 24.222, 1.286, 1.412, 18.7, 1.816
8, 5.915, 22.156, 0.083, 0.290, 20.7, 0.024
9, 6.969, 22.913, 1.346, 0.642, 80.6, 0.864
10, -6.025, 19.953, 0.487, 1.091, 12.6, 0.531
11, -1.144, 15.565, 1.002, 0.462, 86.2, 0.463
12, -9.037, 28.945, 0.355, 1.128, 12.4, 0.401
13, -3.658, 27.544, 0.250, 0.909, 8.0, 0.227
14, 2.292, 19.339, 0.758, 0.393, 82.1, 0.298
15, -4.986, 18.016, 0.390, 0.618, 12.9, 0.241
16, -0.516, 27.085, 0.436, 0.252, 52.2, 0.110
17, -4.189, 23.268, 0.819, 0.364, 83.7, 0.298
18, -4.958, 18.852, 0.087, 0.274, 10.4, 0.024
19, -7.067, 22.046, 0.260, 0.596, 54.3, 0.155
20, 2.748, 31.650, 0.203, 0.335, 8.0, 0.068
21, -5.145, 19.297, 0.061, 0.320, 11.1, 0.020
22, -1.793, 32.596, 0.357, 0.161, 87.4, 0.058

# Circles
# Format: ID, center_x, center_y, radius, area_m2
23, -8.832, 27.918, 0.193, 0.117
